strategies,memory,threshold,distribution,choice,crosses,std
11,5,6000.0,uniform,mse,False,2311.434070528511
22,5,6000.0,uniform,mse,False,2368.144203801787
45,5,6000.0,uniform,mse,False,3079.737431989942
10,3,6000.0,uniform,choice,False,2648.8116950058943
5,5,6000.0,uniform,mse,False,32.733469110376916
56,4,6000.0,uniform,choice,False,3491.6806819066373
44,3,6000.0,uniform,choice,False,3201.5160971014966
27,6,6000.0,uniform,mse,False,3008.2211547025595
42,5,6000.0,uniform,mse,False,4246.626328039707
33,3,6000.0,uniform,choice,False,2961.571397822446
27,3,6000.0,uniform,choice,False,2438.0540456683893
32,6,6000.0,uniform,mse,False,3965.6529679738746
55,8,6000.0,uniform,mse,False,2620.900646724328
52,7,6000.0,uniform,mse,False,3126.788299901354
56,8,6000.0,uniform,mse,False,2661.5111421897145
49,5,6000.0,uniform,mse,False,3026.0237506668714
58,6,6000.0,uniform,mse,False,4674.261481010358
28,7,6000.0,uniform,mse,False,1831.9656417083809
39,5,6000.0,uniform,mse,False,4204.4577357371545
59,3,6000.0,uniform,choice,False,3274.926332240162
6,5,6000.0,uniform,mse,False,212.95885424184647
4,3,6000.0,uniform,choice,False,1537.56078722111
12,5,6000.0,uniform,mse,False,2336.3282902879896
23,5,6000.0,uniform,mse,False,2656.18984027874
31,3,6000.0,uniform,choice,False,2627.586482002067
46,5,6000.0,uniform,mse,False,3380.782680741251
48,3,6000.0,uniform,choice,False,3233.987149263274
20,3,6000.0,uniform,choice,False,2538.577253581226
24,7,6000.0,uniform,mse,False,2539.2770873616764
55,4,6000.0,uniform,choice,False,3487.3879958501893
54,9,6000.0,uniform,mse,False,2152.6602756589346
43,5,6000.0,uniform,mse,False,2872.651082188716
37,3,6000.0,uniform,choice,False,3145.2263474033157
57,8,6000.0,uniform,mse,False,2345.879601002575
52,4,6000.0,uniform,choice,False,3474.5695120978658
33,6,6000.0,uniform,mse,False,4202.692635394599
59,6,6000.0,uniform,mse,False,4695.578919324005
7,5,6000.0,uniform,mse,False,773.5265435652483
29,7,6000.0,uniform,mse,False,2991.319402805391
50,5,6000.0,uniform,mse,False,4246.87571073136
53,7,6000.0,uniform,mse,False,3918.1993089172993
41,3,6000.0,uniform,choice,False,3216.519791638161
36,6,6000.0,uniform,mse,False,4088.0900800251457
11,3,6000.0,uniform,choice,False,1635.6380735358296
