strategies,memory,threshold,distribution,choice,crosses,std
38,8,6000.0,uniform,mse,False,2287.7819250094617
14,8,6000.0,uniform,mse,False,747.687156235815
26,8,6000.0,uniform,mse,False,2215.6843783355066
71,8,6000.0,uniform,mse,False,2395.998445825873
80,8,6000.0,uniform,mse,False,2862.019334735529
53,8,6000.0,uniform,mse,False,2249.4132017928587
41,8,6000.0,uniform,mse,False,2743.4872472092884
92,8,6000.0,uniform,mse,False,3181.1445732000298
14,8,6000.0,uniform,mse,False,937.1966282483095
26,8,6000.0,uniform,mse,False,2376.3946274977147
71,8,6000.0,uniform,mse,False,2510.1261797766265
80,8,6000.0,uniform,mse,False,2147.69201702665
53,8,6000.0,uniform,mse,False,2401.942208796873
2,11,6000.0,uniform,mse,False,2.14326853193901
41,8,6000.0,uniform,mse,False,2210.2511531497953
95,8,6000.0,uniform,mse,False,2015.7875725383367
26,8,6000.0,uniform,mse,False,2254.342998658367
2,11,6000.0,uniform,mse,False,96.45920173835154
71,8,6000.0,uniform,mse,False,3528.290550167319
80,8,6000.0,uniform,mse,False,2467.52016113344
56,8,6000.0,uniform,mse,False,2525.0503437357443
41,8,6000.0,uniform,mse,False,2273.6404992874313
2,11,6000.0,uniform,mse,False,2.067752402972851
29,8,6000.0,uniform,mse,False,2079.9919385420703
95,8,6000.0,uniform,mse,False,2169.842783337079
62,11,6000.0,uniform,mse,False,1906.1157568206606
80,8,6000.0,uniform,mse,False,3118.726843376957
56,8,6000.0,uniform,mse,False,2600.1730723934515
2,11,6000.0,uniform,mse,False,7.597604885751825
41,8,6000.0,uniform,mse,False,2146.9815309871674
29,8,6000.0,uniform,mse,False,2380.33647403051
95,8,6000.0,uniform,mse,False,2575.468516289803
62,11,6000.0,uniform,mse,False,1665.906864143371
2,11,6000.0,uniform,mse,False,4.819999999999999
80,8,6000.0,uniform,mse,False,2306.3938480667175
56,8,6000.0,uniform,mse,False,2737.1074674553793
41,8,6000.0,uniform,mse,False,3032.2652127411284
